Fighter,Elo Rating
Michael Page,1079.08
Ryan Hall,1078.97
Germaine de Randamie,1078.69
Omari Akhmedov,1078.07
Oleg Taktarov,1077.81
David Teymur,1077.67
Dustin Jacoby,1077.04
Gilbert Burns,1076.9
Brandon Moreno,1076.81
Chepe Mariscal,1076.68
Rani Yahya,1076.41
Martin Kampmann,1076.39
Edmen Shahbazyan,1076.3
Jordan Johnson,1076.23
Roman Dolidze,1076.06
Ikram Aliskerov,1075.83
Waldo Cortes Acosta,1075.57
Chris Duncan,1075.38
Urijah Faber,1075.0
Matt Hamill,1074.94
Mark Kerr,1074.55
Darren Elkins,1074.12
Kevin Holland,1073.96
Tracy Cortez,1073.6
Gunnar Nelson,1073.59
Andre Lima,1073.47
Ryan LaFlare,1072.67
Chris Padilla,1072.57
Navajo Stirling,1072.48
Marcos Rogerio de Lima,1072.38
Luana Santos,1071.96
Nicolas Dalby,1071.61
Tagir Ulanbekov,1071.52
Ricky Simon,1071.27
Chan Sung Jung,1071.01
Dennis Siver,1070.83
Bo Nickal,1070.78
Thales Leites,1070.3
Kayla Harrison,1070.29
JJ Aldrich,1070.24
Rousimar Palhares,1070.15
Paul Felder,1069.9
Shara Magomedov,1069.88
Taylor Lapilus,1069.87
Mike Pierce,1069.79
Quinton Jackson,1069.66
Sergio Pettis,1069.36
Chris Weidman,1069.33
Waldo Cortes-Acosta,1069.28
Volkan Oezdemir,1069.18
Miranda Maverick,1069.14
Cheick Kongo,1069.05
Vinicius Oliveira,1068.87
Jorge Masvidal,1068.84
Alexandr Romanov,1068.82
Nikita Krylov,1068.79
Ronda Rousey,1068.65
Pedro Rizzo,1068.26
Khalil Rountree Jr.,1068.21
Johny Hendricks,1067.92
Sage Northcutt,1067.77
Ketlen Vieira,1067.66
Nate Quarry,1067.55
Marcin Tybura,1067.51
Jared Rosholt,1067.12
Jairzinho Rozenstruik,1066.99
Joanna Jedrzejczyk,1066.97
Elizeu Zaleski dos Santos,1066.82
Josh Hokit,1066.63
Serghei Spivac,1066.48
Casey O'Neill,1065.77
David Martinez,1065.36
Drew Dober,1065.22
Alonzo Menifield,1065.14
Marlon Vera,1064.95
Roger Huerta,1064.6
Bogdan Guskov,1064.29
Santiago Ponzinibbio,1064.1
Thiago Santos,1063.79
Rashad Evans,1063.61
Iasmin Lucindo,1062.49
David Onama,1062.46
Matthew Riddle,1062.31
Al Iaquinta,1062.21
Jens Pulver,1062.17
Daniel Santos,1061.65
Myles Jury,1061.58
Li Jingliang,1061.52
Charles Jourdain,1061.47
Jacob Malkoun,1061.38
Joanderson Brito,1061.27
Mauricio Ruffy,1061.27
Karo Parisyan,1061.06
Rob Font,1060.99
Chael Sonnen,1060.9
Jonathan Micallef,1060.72
Giga Chikadze,1060.67
Allan Nascimento,1060.32
Diego Ferreira,1060.3
Ruslan Magomedov,1060.25
Alexia Thainara,1060.22
Mike Swick,1060.17
Cody Garbrandt,1059.78
Cam Rowston,1059.72
Alan Belcher,1059.7
Josh Emmett,1059.36
Jimmie Rivera,1059.28
Marcus McGhee,1059.25
Diego Sanchez,1059.01
Tabatha Ricci,1058.98
Karol Rosa,1058.88
Alexander Hernandez,1058.79
Talita Alencar,1058.73
Amanda Lemos,1058.61
Nursulton Ruziboev,1058.61
Raphael Assuncao,1058.54
Ryan Spann,1058.36
Mike Davis,1058.28
Donald Cerrone,1058.21
Nurullo Aliev,1058.21
Mario Pinto,1058.05
Irene Aldana,1058.0
Piera Rodriguez,1057.79
Brett Johns,1057.72
Kevin Lee,1057.71
Loopy Godinez,1057.41
Nazim Sadykhov,1057.29
Mark Bocek,1057.25
Mark Munoz,1057.18
Brunno Ferreira,1057.12
Brando Pericic,1057.08
Mick Parkin,1056.97
Baisangur Susurkaev,1056.84
Punahele Soriano,1056.77
Brandon Royval,1056.72
Alex Caceres,1056.71
Jacobe Smith,1056.67
Valter Walker,1056.65
Elijah Smith,1056.6
Loma Lookboonmee,1056.46
Jeremiah Wells,1056.41
Tom Nolan,1056.39
Michal Oleksiejczuk,1056.17
Uriah Hall,1056.12
Leonardo Santos,1056.09
Wang Cong,1055.96
Matt Brown,1055.75
Matt Mitrione,1055.68
Amir Albazi,1055.53
William Gomis,1055.51
Kelvin Gastelum,1055.29
Stephen Thompson,1054.94
Kai Kara-France,1054.8
Jack Hermansson,1054.55
Jeff Molina,1054.43
Yana Santos,1054.4
MarQuel Mederos,1054.04
Justin Willis,1053.91
Dan Hardy,1053.57
James Vick,1053.48
Yaroslav Amosov,1053.31
Stevie Ray,1053.23
Jessica Andrade,1052.92
Jordan Leavitt,1052.79
Damir Ismagulov,1052.77
Evan Tanner,1052.44
Michael McDonald,1052.23
Muhammad Naimov,1052.08
Nate Maness,1051.99
Alejandro Perez,1051.74
Davey Grant,1051.72
Nik Lentz,1051.68
